right_wheel_frequency,left_frequency,delta_time,displacement
0.35,0.35,0.75,27.7
0.35,0.35,0.75,27.1
0.35,0.35,0.75,26.7
0.35,0.35,0.75,26.6
0.35,0.35,0.75,25.9
0.35,0.35,0.75,26.6

0.35,0.35,1.0,34.0
0.35,0.35,1.0,34.0
0.35,0.35,1.0,33.0
0.35,0.35,1.0,34.5
0.35,0.35,1.0,37.2
0.35,0.35,1.0,37.6
0.35,0.35,1.0,38.1
0.35,0.35,1.0,36.9
0.35,0.35,1.0,38.0
0.35,0.35,1.0,38.1
0.35,0.35,1.0,35.6

0.35,0.35,1.25,48.1
0.35,0.35,1.25,48.7
0.35,0.35,1.25,48.3
0.35,0.35,1.25,47.7
0.35,0.35,1.25,46.8
0.35,0.35,1.25,47.6

0.35,0.35,1.5,58.0
0.35,0.35,1.5,58.0
0.35,0.35,1.5,58.2
0.35,0.35,1.5,58.0
0.35,0.35,1.5,58.0
0.35,0.35,1.5,57.8
0.35,0.35,1.5,56.7
0.35,0.35,1.5,58.0
